episode_reward_mean,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
-1499.4971825714035,1723493401,,False,31,62234_00000,2024-08-12_22-10-01,23.76968550682068,4924.279566526413,1256563,lrz-hgx-a100-004,10.195.244.34,4924.279566526413,31
-1502.5912385633314,1723493485,,False,32,62234_00000,2024-08-12_22-11-25,84.19562220573425,5008.475188732147,1256563,lrz-hgx-a100-004,10.195.244.34,5008.475188732147,32
-1500.9166217632953,1723493692,,False,33,62234_00000,2024-08-12_22-14-52,207.13762736320496,5215.612816095352,1256563,lrz-hgx-a100-004,10.195.244.34,5215.612816095352,33
-1497.2035729719832,1723493960,,False,34,62234_00000,2024-08-12_22-19-20,268.0386950969696,5483.651511192322,1256563,lrz-hgx-a100-004,10.195.244.34,5483.651511192322,34
-1501.9061675492599,1723494083,,False,35,62234_00000,2024-08-12_22-21-23,123.13896608352661,5606.790477275848,1256563,lrz-hgx-a100-004,10.195.244.34,5606.790477275848,35
-1508.7951456109863,1723494195,,False,36,62234_00000,2024-08-12_22-23-15,112.10183572769165,5718.89231300354,1256563,lrz-hgx-a100-004,10.195.244.34,5718.89231300354,36
-1510.7853960122134,1723494355,,False,37,62234_00000,2024-08-12_22-25-55,159.1788432598114,5878.071156263351,1256563,lrz-hgx-a100-004,10.195.244.34,5878.071156263351,37
-1507.5367442407883,1723494548,,False,38,62234_00000,2024-08-12_22-29-08,193.51693511009216,6071.588091373444,1256563,lrz-hgx-a100-004,10.195.244.34,6071.588091373444,38
-1512.7930683847553,1723494747,,False,39,62234_00000,2024-08-12_22-32-27,198.4299623966217,6270.018053770065,1256563,lrz-hgx-a100-004,10.195.244.34,6270.018053770065,39
-1509.4831578831995,1723494778,,False,40,62234_00000,2024-08-12_22-32-58,31.612531185150146,6301.630584955215,1256563,lrz-hgx-a100-004,10.195.244.34,6301.630584955215,40
-1507.5131546196817,1723494961,,False,41,62234_00000,2024-08-12_22-36-01,182.46186661720276,6484.092451572418,1256563,lrz-hgx-a100-004,10.195.244.34,6484.092451572418,41
-1509.3861609646326,1723495205,,False,42,62234_00000,2024-08-12_22-40-05,244.31039309501648,6728.402844667435,1256563,lrz-hgx-a100-004,10.195.244.34,6728.402844667435,42
-1505.970843452018,1723495327,,False,43,62234_00000,2024-08-12_22-42-07,121.72745370864868,6850.130298376083,1256563,lrz-hgx-a100-004,10.195.244.34,6850.130298376083,43
-1502.6982247646176,1723495358,,False,44,62234_00000,2024-08-12_22-42-38,31.659035205841064,6881.789333581924,1256563,lrz-hgx-a100-004,10.195.244.34,6881.789333581924,44
-1499.2481223642849,1723495540,,False,45,62234_00000,2024-08-12_22-45-40,181.75079822540283,7063.540131807327,1256563,lrz-hgx-a100-004,10.195.244.34,7063.540131807327,45
-1496.431496446281,1723495785,,False,46,62234_00000,2024-08-12_22-49-45,244.49042391777039,7308.030555725098,1256563,lrz-hgx-a100-004,10.195.244.34,7308.030555725098,46
-1493.684777359515,1723495917,,False,47,62234_00000,2024-08-12_22-51-57,132.42944359779358,7440.459999322891,1256563,lrz-hgx-a100-004,10.195.244.34,7440.459999322891,47
-1492.8330342749566,1723495949,,False,48,62234_00000,2024-08-12_22-52-29,32.33462405204773,7472.794623374939,1256563,lrz-hgx-a100-004,10.195.244.34,7472.794623374939,48
-1494.9751811003498,1723496198,,False,49,62234_00000,2024-08-12_22-56-38,248.93886256217957,7721.7334859371185,1256563,lrz-hgx-a100-004,10.195.244.34,7721.7334859371185,49
-1497.7121603562857,1723496418,,False,50,62234_00000,2024-08-12_23-00-18,219.29177904129028,7941.025264978409,1256563,lrz-hgx-a100-004,10.195.244.34,7941.025264978409,50
-1495.3152882936206,1723496513,,False,51,62234_00000,2024-08-12_23-01-53,95.29330539703369,8036.3185703754425,1256563,lrz-hgx-a100-004,10.195.244.34,8036.3185703754425,51
-1497.3409824110734,1723496600,,False,52,62234_00000,2024-08-12_23-03-20,86.54848337173462,8122.867053747177,1256563,lrz-hgx-a100-004,10.195.244.34,8122.867053747177,52
-1502.3072812585403,1723496885,,False,53,62234_00000,2024-08-12_23-08-05,285.254935503006,8408.121989250183,1256563,lrz-hgx-a100-004,10.195.244.34,8408.121989250183,53
-1503.328447202275,1723497027,,False,54,62234_00000,2024-08-12_23-10-27,142.3714201450348,8550.493409395218,1256563,lrz-hgx-a100-004,10.195.244.34,8550.493409395218,54
-1506.5146019058984,1723497264,,False,55,62234_00000,2024-08-12_23-14-24,237.0489649772644,8787.542374372482,1256563,lrz-hgx-a100-004,10.195.244.34,8787.542374372482,55
-1520.5473621785882,1723497430,,False,56,62234_00000,2024-08-12_23-17-10,165.61396670341492,8953.156341075897,1256563,lrz-hgx-a100-004,10.195.244.34,8953.156341075897,56
-1519.365996917099,1723497474,,False,57,62234_00000,2024-08-12_23-17-54,44.39328956604004,8997.549630641937,1256563,lrz-hgx-a100-004,10.195.244.34,8997.549630641937,57
-1519.311748188138,1723497671,,False,58,62234_00000,2024-08-12_23-21-11,196.35818123817444,9193.907811880112,1256563,lrz-hgx-a100-004,10.195.244.34,9193.907811880112,58
-1519.461487177714,1723497907,,False,59,62234_00000,2024-08-12_23-25-07,236.16168522834778,9430.06949710846,1256563,lrz-hgx-a100-004,10.195.244.34,9430.06949710846,59
-1516.8648976069662,1723498013,,False,60,62234_00000,2024-08-12_23-26-53,106.2954969406128,9536.364994049072,1256563,lrz-hgx-a100-004,10.195.244.34,9536.364994049072,60
-1514.4233031262447,1723498060,,False,61,62234_00000,2024-08-12_23-27-40,46.79860305786133,9583.163597106934,1256563,lrz-hgx-a100-004,10.195.244.34,9583.163597106934,61
